"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 16 09:37:00 PST 2021","Tue Feb 16 09:37:06 PST 2021","6117","Default Suite","designPatterns_homework","PageFactoryFluentAPIHomework.tests.MainBlock","PageFactoryFluentAPIHomework.tests.MainBlock","executeRegistration","executeRegistration",""
"skipped","Tue Feb 16 09:37:06 PST 2021","Tue Feb 16 09:37:06 PST 2021","1","Default Suite","designPatterns_homework","PageFactoryFluentAPIHomework.tests.MainBlock","PageFactoryFluentAPIHomework.tests.MainBlock","executeSkipped","executeSkipped",""
"passed","Tue Feb 16 09:36:32 PST 2021","Tue Feb 16 09:37:00 PST 2021","27634","Default Suite","designPatterns_homework","PageFactoryFluentAPIHomework.tests.MainBlock","PageFactoryFluentAPIHomework.tests.MainBlock","executeFinalTestPlan","Main test block.","Test description: Step objects and fluent methods."
